서울특별시                              LCA000                                            Y                               
강남구                                  LCA001                                            Y                               
강동구                                  LCA002                                            Y                               
강북구                                  LCA003                                            Y                               
강서구                                  LCA004                                            Y                               
관악구                                  LCA005                                            Y                               
광진구                                  LCA006                                            Y                               
구로구                                  LCA007                                            Y                               
금천구                                  LCA008                                            Y                               
노원구                                  LCA009                                            Y                               
도봉구                                  LCA010                                            Y                               
동대문구                                LCA011                                            Y                               
마포구                                  LCA012                                            Y                               
서대문구                                LCA013                                            Y                               
서초구                                  LCA014                                            Y                               
성동구                                  LCA015                                            Y                               
성북구                                  LCA016                                            Y                               
송파구                                  LCA017                                            Y                               
양천구                                  LCA018                                            Y                               
영등포구                                LCA019                                            Y                               
용산구                                  LCA020                                            Y                               
은평구                                  LCA021                                            Y                               
종로구                                  LCA022                                            Y                               
중구                                    LCA023                                            Y                               
중량구                                  LCA024                                            Y                               
기타                                    LCE000                                            Y                               
해외                                    LCF000                                            Y                               
강원도                                  LCH000                                            Y                               
강릉시                                  LCH001                                            Y                               
고성군                                  LCH002                                            Y                               
동해시                                  LCH003                                            Y                               
삼척시                                  LCH004                                            Y                               
속초시                                  LCH005                                            Y                               
양구군                                  LCH006                                            Y                               
양양군                                  LCH007                                            Y                               
영월군                                  LCH008                                            Y                               
원주시                                  LCH009                                            Y                               
인제군                                  LCH010                                            Y                               
정선군                                  LCH011                                            Y                               
철원군                                  LCH012                                            Y                               
춘천시                                  LCH013                                            Y                               
태백시                                  LCH014                                            Y                               
평창군                                  LCH015                                            Y                               
홍천군                                  LCH016                                            Y                               
화천군                                  LCH017                                            Y                               
횡성군                                  LCH018                                            Y                               
경기도                                  LCI000                                            Y                               
가평군                                  LCI001                                            Y                               
고양시 덕양구                           LCI002                                            Y                               
고양시 일산동구                         LCI003                                            Y                               
고양시 일산서구                         LCI004                                            Y                               
과천시                                  LCI005                                            Y                               
광명시                                  LCI006                                            Y                               
광주시                                  LCI007                                            Y                               
구리시                                  LCI008                                            Y                               
군포시                                  LCI009                                            Y                               
김포시                                  LCI010                                            Y                               
남양주시                                LCI011                                            Y                               
동두천시                                LCI012                                            Y                               
부천시 소사구                           LCI013                                            Y                               
부천시 오정구                           LCI014                                            Y                               
부천시 원미구                           LCI015                                            Y                               
성남시 분당구                           LCI016                                            Y                               
성남시 수정구                           LCI017                                            Y                               
성남시 중원구                           LCI018                                            Y                               
수원시 권선구                           LCI019                                            Y                               
수원시 영통구                           LCI020                                            Y                               
수원시 장안구                           LCI021                                            Y                               
수원시 팔달구                           LCI022                                            Y                               
시흥시                                  LCI023                                            Y                               
안산시 단원구                           LCI024                                            Y                               
안산시 상록구                           LCI025                                            Y                               
안성시                                  LCI026                                            Y                               
안양시 동안구                           LCI027                                            Y                               
안양시 만안구                           LCI028                                            Y                               
양주시                                  LCI029                                            Y                               
양평군                                  LCI030                                            Y                               
여주군                                  LCI031                                            Y                               
연천군                                  LCI032                                            Y                               
오산시                                  LCI033                                            Y                               
