강동면                                  0001      강원도    강릉시                        Y                               
구정면                                  0002      강원도    강릉시                        Y                               
사천면                                  0003      강원도    강릉시                        Y                               
성산면                                  0004      강원도    강릉시                        Y                               
연곡면                                  0005      강원도    강릉시                        Y                               
옥계면                                  0006      강원도    강릉시                        Y                               
왕산면                                  0007      강원도    강릉시                        Y                               
주문진읍                                0008      강원도    강릉시                        Y                               
간성읍                                  0009      강원도    고성군                        Y                               
거진읍                                  0010      강원도    고성군                        Y                               
죽왕면                                  0011      강원도    고성군                        Y                               
토성면                                  0012      강원도    고성군                        Y                               
현내면                                  0013      강원도    고성군                        Y                               
가곡면                                  0014      강원도    삼척시                        Y                               
근덕면                                  0015      강원도    삼척시                        Y                               
노곡면                                  0016      강원도    삼척시                        Y                               
도계읍                                  0017      강원도    삼척시                        Y                               
미로면                                  0018      강원도    삼척시                        Y                               
신기면                                  0019      강원도    삼척시                        Y                               
원덕읍                                  0020      강원도    삼척시                        Y                               
하장면                                  0021      강원도    삼척시                        Y                               
남면                                    0022      강원도    양구군                        Y                               
동면                                    0023      강원도    양구군                        Y                               
방산면                                  0024      강원도    양구군                        Y                               
양구읍                                  0025      강원도    양구군                        Y                               
해안면                                  0026      강원도    양구군                        Y                               
강현면                                  0027      강원도    양양군                        Y                               
서면                                    0028      강원도    양양군                        Y                               
손양면                                  0029      강원도    양양군                        Y                               
양양읍                                  0030      강원도    양양군                        Y                               
현남면                                  0031      강원도    양양군                        Y                               
현북면                                  0032      강원도    양양군                        Y                               
김삿갓면                                0033      강원도    영월군                        Y                               
남면                                    0034      강원도    영월군                        Y                               
북면                                    0035      강원도    영월군                        Y                               
상동읍                                  0036      강원도    영월군                        Y                               
수주면                                  0037      강원도    영월군                        Y                               
영월읍                                  0038      강원도    영월군                        Y                               
주천면                                  0039      강원도    영월군                        Y                               
중동면                                  0040      강원도    영월군                        Y                               
한반도면                                0041      강원도    영월군                        Y                               
귀래면                                  0042      강원도    원주시                        Y                               
문막읍                                  0043      강원도    원주시                        Y                               
부론면                                  0044      강원도    원주시                        Y                               
소초면                                  0045      강원도    원주시                        Y                               
신림면                                  0046      강원도    원주시                        Y                               
지정면                                  0047      강원도    원주시                        Y                               
판부면                                  0048      강원도    원주시                        Y                               
호저면                                  0049      강원도    원주시                        Y                               
흥업면                                  0050      강원도    원주시                        Y                               
기린면                                  0051      강원도    인제군                        Y                               
남면                                    0052      강원도    인제군                        Y                               
북면                                    0053      강원도    인제군                        Y                               
상남면                                  0054      강원도    인제군                        Y                               
서화면                                  0055      강원도    인제군                        Y                               
인제읍                                  0056      강원도    인제군                        Y                               
고한읍                                  0057      강원도    정선군                        Y                               
남면                                    0058      강원도    정선군                        Y                               
북평면                                  0059      강원도    정선군                        Y                               
사북읍                                  0060      강원도    정선군                        Y                               
신동읍                                  0061      강원도    정선군                        Y                               
여량면                                  0062      강원도    정선군                        Y                               
임계면                                  0063      강원도    정선군                        Y                               
정선읍                                  0064      강원도    정선군                        Y                               
화암면                                  0065      강원도    정선군                        Y                               
갈말읍                                  0066      강원도    철원군                        Y                               
근남면                                  0067      강원도    철원군                        Y                               
근북면                                  0068      강원도    철원군                        Y                               
김화읍                                  0069      강원도    철원군                        Y                               
동송읍                                  0070      강원도    철원군                        Y                               
서면                                    0071      강원도    철원군                        Y                               
철원읍                                  0072      강원도    철원군                        Y                               
남면                                    0073      강원도    춘천시                        Y                               
남산면                                  0074      강원도    춘천시                        Y                               
동내면                                  0075      강원도    춘천시                        Y                               
동면                                    0076      강원도    춘천시                        Y                               
동산면                                  0077      강원도    춘천시                        Y                               
북산면                                  0078      강원도    춘천시                        Y                               
사북면                                  0079      강원도    춘천시                        Y                               
서면                                    0080      강원도    춘천시                        Y                               
신동면                                  0081      강원도    춘천시                        Y                               
신북읍                                  0082      강원도    춘천시                        Y                               
대관령면                                0083      강원도    평창군                        Y                               
대화면                                  0084      강원도    평창군                        Y                               
미탄면                                  0085      강원도    평창군                        Y                               
방림면                                  0086      강원도    평창군                        Y                               
봉평면                                  0087      강원도    평창군                        Y                               
용평면                                  0088      강원도    평창군                        Y                               
진부면                                  0089      강원도    평창군                        Y                               
평창읍                                  0090      강원도    평창군                        Y                               
남면                                    0091      강원도    홍천군                        Y                               
내면                                    0092      강원도    홍천군                        Y                               
내촌면                                  0093      강원도    홍천군                        Y                               
동면                                    0094      강원도    홍천군                        Y                               
두촌면                                  0095      강원도    홍천군                        Y                               
북방면                                  0096      강원도    홍천군                        Y                               
서면                                    0097      강원도    홍천군                        Y                               
서석면                                  0098      강원도    홍천군                        Y                               
홍천읍                                  0099      강원도    홍천군                        Y                               
화촌면                                  0100      강원도    홍천군                        Y                               
간동면                                  0101      강원도    화천군                        Y                               
사내면                                  0102      강원도    화천군                        Y                               
상서면                                  0103      강원도    화천군                        Y                               
하남면                                  0104      강원도    화천군                        Y                               
화천읍                                  0105      강원도    화천군                        Y                               
갑천면                                  0106      강원도    횡성군                        Y                               
강림면                                  0107      강원도    횡성군                        Y                               
공근면                                  0108      강원도    횡성군                        Y                               
둔내면                                  0109      강원도    횡성군                        Y                               
서원면                                  0110      강원도    횡성군                        Y                               
안흥면                                  0111      강원도    횡성군                        Y                               
우천면                                  0112      강원도    횡성군                        Y                               
청일면                                  0113      강원도    횡성군                        Y                               
횡성읍                                  0114      강원도    횡성군                        Y                               
가평읍                                  0115      경기도    가평군                        Y                               
북면                                    0116      경기도    가평군                        Y                               
상면                                    0117      경기도    가평군                        Y                               
설악면                                  0118      경기도    가평군                        Y                               
청평면                                  0119      경기도    가평군                        Y                               
하면                                    0120      경기도    가평군                        Y                               
곤지암읍                                0121      경기도    광주시                        Y                               
남종면                                  0122      경기도    광주시                        Y                               
도척면                                  0123      경기도    광주시                        Y                               
오포읍                                  0124      경기도    광주시                        Y                               
중부면                                  0125      경기도    광주시                        Y                               
초월읍                                  0126      경기도    광주시                        Y                               
퇴촌면                                  0127      경기도    광주시                        Y                               
고촌읍                                  0128      경기도    김포시                        Y                               
대곶면                                  0129      경기도    김포시                        Y                               
양촌읍                                  0130      경기도    김포시                        Y                               
월곶면                                  0131      경기도    김포시                        Y                               
통진읍                                  0132      경기도    김포시                        Y                               
하성면                                  0133      경기도    김포시                        Y                               
별내면                                  0134      경기도    남양주시                      Y                               
수동면                                  0135      경기도    남양주시                      Y                               
오남읍                                  0136      경기도    남양주시                      Y                               
와부읍                                  0137      경기도    남양주시                      Y                               
조안면                                  0138      경기도    남양주시                      Y                               
진건읍                                  0139      경기도    남양주시                      Y                               
진접읍                                  0140      경기도    남양주시                      Y                               
퇴계원면                                0141      경기도    남양주시                      Y                               
화도읍                                  0142      경기도    남양주시                      Y                               
고삼면                                  0143      경기도    안성시                        Y                               
공도읍                                  0144      경기도    안성시                        Y                               
금광면                                  0145      경기도    안성시                        Y                               
대덕면                                  0146      경기도    안성시                        Y                               
미양면                                  0147      경기도    안성시                        Y                               
보개면                                  0148      경기도    안성시                        Y                               
삼죽면                                  0149      경기도    안성시                        Y                               
서운면                                  0150      경기도    안성시                        Y                               
양성면                                  0151      경기도    안성시                        Y                               
원곡면                                  0152      경기도    안성시                        Y                               
일죽면                                  0153      경기도    안성시                        Y                               
죽산면                                  0154      경기도    안성시                        Y                               
광적면                                  0155      경기도    양주시                        Y                               
남면                                    0156      경기도    양주시                        Y                               
백석읍                                  0157      경기도    양주시                        Y                               
은현면                                  0158      경기도    양주시                        Y                               
장흥면                                  0159      경기도    양주시                        Y                               
강상면                                  0160      경기도    양평군                        Y                               
강하면                                  0161      경기도    양평군                        Y                               
개군면                                  0162      경기도    양평군                        Y                               
단월면                                  0163      경기도    양평군                        Y                               
서종면                                  0164      경기도    양평군                        Y                               
양동면                                  0165      경기도    양평군                        Y                               
양서면                                  0166      경기도    양평군                        Y                               
양평읍                                  0167      경기도    양평군                        Y                               
옥천면                                  0168      경기도    양평군                        Y                               
용문면                                  0169      경기도    양평군                        Y                               
지평면                                  0170      경기도    양평군                        Y                               
청운면                                  0171      경기도    양평군                        Y                               
가남읍                                  0172      경기도    여주시                        Y                               
강천면                                  0173      경기도    여주시                        Y                               
금사면                                  0174      경기도    여주시                        Y                               
능서면                                  0175      경기도    여주시                        Y                               
대신면                                  0176      경기도    여주시                        Y                               
북내면                                  0177      경기도    여주시                        Y                               
